,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
2230,Josiane Nunes,Josi,10.0,2.0,0,"5' 2""",135 lbs.,"67""",Southpaw,"Dec 23, 1993",5.99,44%,5.25,53%,0.0,0%,58%,0.0,10.0,2.0,0.0,62.0,67.0,30.0,"Curitiba, Brazil",45%,299 of 667,,,5.99,0.0,53%,0.9,5.25,0.0,58%,12:29,both
2231,Journey Newson,543,10.0,5.0,0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"Mar 07, 1989",2.64,32%,2.57,64%,0.56,16%,43%,0.3,10.0,5.0,0.0,65.0,67.5,34.0,"Hayward, United States",33%,141 of 433,17%,,2.64,0.56,65%,0.28,2.57,0.28,44%,08:54,both
2232,Juan Adams,The Kraken,5.0,3.0,0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,5.0,3.0,0.0,77.0,80.0,31.0,"Houston, United States",56%,234 of 420,67%,2 of 3,7.09,0.91,35%,0.0,4.06,0.0,57%,06:36,both
2234,Juan Andres Luna,32,12.0,1.0,0,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995",3.27,31%,3.0,65%,0.0,0%,0%,0.0,0.0,1.0,0.0,67.0,72.0,27.0,,32%,49 of 155,0%,,3.27,0.0,66%,0.0,3.0,0.0,,15:00,both
2235,Juan Espino,El Guapo,11.0,2.0,0,"6' 3""",255 lbs.,"80""",Orthodox,"Oct 09, 1980",2.38,70%,1.95,40%,8.93,78%,50%,2.4,11.0,2.0,0.0,75.0,80.0,42.0,Spain,71%,44 of 62,79%,2 of 14,2.38,8.93,40%,0.0,1.95,2.43,50%,06:10,both
2239,Juan Puerta,Leadfeather,23.0,6.0,0,"5' 9""",125 lbs.,"71""",Southpaw,"Jan 20, 1988",1.27,39%,1.27,67%,1.0,100%,0%,0.0,1.0,0.0,0.0,69.0,71.0,35.0,"Mt Kisco, United States",40%,19 of 48,100%,,1.27,1.0,68%,0.0,1.27,0.0,,15:00,both
2241,Juancamilo Ronderos,,4.0,2.0,0,"5' 3""",125 lbs.,"64""",Southpaw,"Feb 17, 1995",2.18,30%,2.18,63%,2.72,33%,0%,0.0,4.0,2.0,0.0,63.0,64.5,28.0,"Bogota, Colombia",31%,12 of 39,33%,,2.18,2.72,64%,0.0,2.18,0.0,,02:46,both
2242,Jules Bruchez,Cotton Mouth from the South,1.0,2.0,0,"6' 0""",205 lbs.,--,Southpaw,"Aug 16, 1977",0.69,50%,5.52,46%,0.0,0%,0%,0.0,0.0,1.0,0.0,72.0,,45.0,"Lafayette, United States",50%,1 of 2,,,0.69,0.0,47%,0.0,5.52,0.0,,01:27,both
2243,Julia Avila,Raging Panda,9.0,3.0,0,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",2.59,43%,2.86,50%,0.54,33%,50%,0.3,9.0,3.0,0.0,67.0,68.0,35.0,"Los Angeles, United States",44%,145 of 331,33%,,2.59,0.54,51%,0.27,2.86,0.27,50%,11:11,both
2245,Julia Polastri,The Dragon,12.0,3.0,0,"5' 2""",115 lbs.,"63""",Orthodox,"Mar 05, 1998",6.19,52%,5.11,62%,0.62,100%,42%,0.6,1.0,1.0,0.0,62.0,63.5,25.0,,52%,149 of 284,100%,,6.19,0.62,63%,0.0,5.11,0.62,43%,12:03,both
2246,Julian Erosa,Juicy J,29.0,12.0,0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.14,48%,6.29,47%,1.63,46%,58%,0.8,29.0,12.0,0.0,73.0,74.5,34.0,"Yakima, United States",49%,734 of 1501,46%,3 of 28,6.14,1.63,48%,0.25,6.29,0.75,59%,07:58,both
2247,Julian Marquez,The Cuban Missile Crisis,9.0,4.0,0,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",4.86,44%,4.99,51%,0.0,0%,53%,2.6,9.0,4.0,0.0,74.0,72.0,33.0,"Kansas City, United States",45%,311 of 692,0%,,4.86,0.0,51%,0.47,4.99,2.58,53%,09:08,both
2248,Julian Sanchez,679,0.0,1.0,0,"6' 3""",300 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,"San Antonio, United States",,,24%,31 of 175,,,,,,,,,both
2249,Juliana Lima,Ju Thai,9.0,5.0,0,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982",1.94,44%,2.11,55%,1.72,31%,70%,0.0,9.0,5.0,0.0,65.0,65.5,41.0,"Belo Horizonte, Brazil",44%,186 of 422,31%,11 of 35,1.94,1.72,56%,0.0,2.11,0.0,71%,13:42,both
2250,Juliana Miller,Killer,4.0,3.0,0,"5' 7""",125 lbs.,"66""",Orthodox,"May 07, 1996",3.31,45%,4.75,32%,1.84,44%,0%,1.8,4.0,3.0,0.0,67.0,66.0,27.0,"San Diego, United States",45%,108 of 239,44%,4 of 9,3.31,1.84,33%,0.0,4.75,1.84,,10:53,both
2251,Julianna Pena,The Venezuelan Vixen,12.0,5.0,0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",3.16,47%,2.3,50%,1.94,55%,23%,0.8,12.0,5.0,0.0,66.0,69.0,34.0,"Spokane, United States",48%,392 of 819,55%,9 of 29,3.16,1.94,51%,0.0,2.3,0.85,23%,12:24,both
2252,Julie Kedzie,Fireball,16.0,13.0,0,"5' 5""",135 lbs.,--,Orthodox,"Mar 18, 1981",2.9,36%,3.18,46%,1.14,23%,78%,0.0,16.0,13.0,0.0,65.0,64.0,,United States,36%,152 of 418,24%,,2.9,1.14,47%,0.86,3.18,0.0,79%,13:30,both
2253,Julija Stoliarenko,746,11.0,9.0,2,"5' 7""",125 lbs.,"66""",Orthodox,"Apr 08, 1993",2.49,39%,4.54,46%,0.93,27%,54%,1.7,11.0,8.0,2.0,67.0,66.0,30.0,Lithuania,39%,202 of 515,28%,,2.49,0.93,46%,0.0,4.54,1.67,55%,10:08,both
2254,Julio Arce,40,19.0,6.0,0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3,19.0,6.0,0.0,67.0,70.0,34.0,"Miami, United States",36%,566 of 1565,29%,,4.36,0.46,68%,0.35,3.05,0.35,96%,11:48,both
2256,Julio Paulino,The Dominican Demon,23.0,5.0,0,"6' 0""",170 lbs.,--,Orthodox,"Dec 04, 1975",0.97,27%,1.87,48%,0.0,0%,37%,0.5,18.0,4.0,0.0,72.0,,47.0,"Jersey City, United States",28%,29 of 104,,,0.97,0.0,49%,0.0,1.87,0.5,38%,15:00,both
2257,Julius Anglickas,33,5.0,1.0,0,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,0.0,0.0,0.0,75.0,75.0,31.0,Lithuania,78%,62 of 79,50%,,4.62,4.47,51%,0.0,1.86,1.12,60%,13:25,both
2258,Jumabieke Tuerxun,The Wild Wolf,19.0,4.0,1,"5' 7""",135 lbs.,--,Orthodox,"Apr 17, 1986",1.6,28%,3.08,59%,0.47,11%,66%,0.9,17.0,3.0,0.0,67.0,67.0,37.0,United States,29%,51 of 176,11%,,1.6,0.47,60%,0.0,3.08,0.94,67%,10:36,both
2260,JunYoung Hong,Drunken Red,11.0,7.0,1,"5' 8""",145 lbs.,"69""",Orthodox,"Dec 18, 1990",3.53,39%,3.27,54%,0.0,0%,40%,0.0,0.0,1.0,0.0,,,32.0,,40%,53 of 134,,,3.53,0.0,54%,0.0,3.27,0.0,40%,15:00,both
2263,Junie Browning,The Lunatic,5.0,6.0,0,"5' 9""",155 lbs.,--,Orthodox,"May 12, 1984",3.76,48%,1.76,66%,3.53,66%,0%,3.5,3.0,2.0,0.0,69.0,,39.0,"Lexington, United States",48%,32 of 66,67%,,3.76,3.53,67%,0.0,1.76,3.53,,04:15,both
2264,Junior Albini,Baby,14.0,6.0,0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,14.0,6.0,0.0,75.0,74.0,32.0,"Paranaguá, Brazil",51%,116 of 227,38%,1 of 8,3.98,1.54,52%,0.51,6.08,0.0,100%,05:50,both
2265,Junior Assuncao,46,16.0,6.0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7,14.0,5.0,0.0,69.0,,,"Recife, Brazil",63%,143 of 228,24%,,3.31,2.43,44%,0.35,2.06,0.7,67%,08:38,both
2267,Junior Dos Santos,Cigano,21.0,9.0,0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.3,50%,81%,0.1,21.0,9.0,0.0,76.0,77.0,39.0,"State of Santa Catarina, Brazil",48%,1109 of 2313,50%,5 of 10,4.49,0.3,56%,0.85,3.33,0.06,82%,10:44,both
2269,Junior Tafa,The Juggernaut,5.0,2.0,0,"6' 3""",240 lbs.,"75""",Orthodox,"Sep 21, 1996",1.81,40%,1.86,50%,0.0,0%,81%,0.0,5.0,2.0,0.0,75.0,72.0,26.0,"Brisbane, Australia",41%,41 of 101,,,1.81,0.0,50%,0.66,1.86,0.0,81%,07:33,both
2271,Junye Gao,250,19.0,12.0,0,--,125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,31.0,,0%,0 of 3,,,,,,,,,,00:00,both
2273,Jussier Formiga,236,23.0,8.0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6,23.0,8.0,0.0,65.0,67.0,38.0,"State of Rio Grande do Norte, Brazil",40%,257 of 649,35%,15 of 62,1.42,1.82,64%,0.17,2.34,0.58,87%,11:18,both
2275,Justin Buchholz,99,15.0,10.0,0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",2.35,26%,4.14,51%,0.0,0%,33%,0.8,9.0,5.0,0.0,72.0,,39.0,"Fairbanks, United States",27%,89 of 335,0%,,2.35,0.0,51%,0.4,4.14,0.79,33%,07:35,both
2276,Justin Burlinson,100,6.0,1.0,0,"6' 1""",170 lbs.,"74""",Switch,"May 19, 1997",1.24,40%,3.09,61%,0.0,0%,100%,9.3,0.0,1.0,0.0,73.0,74.0,26.0,"Sunderland, United Kingdom",40%,2 of 5,,,1.24,0.0,62%,0.0,3.09,9.28,100%,01:37,both
2279,Justin Edwards,Fast Eddy,9.0,5.0,0,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,42%,3.32,51%,2.14,26%,27%,1.0,9.0,5.0,0.0,70.0,70.0,40.0,United States,42%,207 of 491,27%,,2.68,2.14,51%,0.19,3.32,0.97,27%,11:01,both
2280,Justin Eilers,The Hammer,19.0,7.0,1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0,9.0,5.0,1.0,73.0,,44.0,"Boise, United States",31%,20 of 65,0%,,1.93,0.0,47%,1.44,9.92,0.0,,02:36,both
2281,Justin Frazier,The Grizzly Bear,10.0,3.0,0,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0.0,0%,0%,0.0,0.0,1.0,0.0,72.0,,34.0,United States,67%,4 of 6,,,1.11,0.0,4%,0.0,6.11,0.0,,03:36,both
2282,Justin Gaethje,The Highlight,25.0,5.0,0,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.78,59%,7.46,52%,0.11,25%,75%,0.0,26.0,5.0,0.0,71.0,70.0,35.0,"Tucson, United States",59%,964 of 1628,25%,,6.78,0.11,52%,0.63,7.46,0.0,75%,10:56,both
2283,Justin Gonzales,JTrain,6.0,0.0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991",6.67,80%,0.87,43%,14.0,73%,100%,0.0,9.0,0.0,0.0,69.0,,32.0,"Denver, United States",80%,100 of 125,74%,,6.67,14.0,43%,0.0,0.87,0.0,100%,15:00,both
2288,Justin James,The Pretty Boy,13.0,7.0,0,"5' 10""",155 lbs.,--,Orthodox,"Nov 08, 1976",1.34,36%,2.68,50%,0.0,0%,50%,1.6,22.0,5.0,0.0,70.0,,46.0,"Omaha, United States",36%,13 of 36,,,1.34,0.0,50%,0.0,2.68,1.55,50%,09:42,both
2289,Justin Jaynes,The Guitar Hero,16.0,8.0,0,"5' 7""",145 lbs.,"68""",Orthodox,"Aug 10, 1989",3.34,44%,5.33,62%,0.75,40%,20%,1.1,16.0,8.0,0.0,67.0,68.0,33.0,"St Clair, United States",44%,134 of 302,40%,,3.34,0.75,63%,0.75,5.33,1.12,20%,08:02,both
2290,Justin Jones,Black Dynamite,9.0,2.0,0,"5' 11""",185 lbs.,--,Orthodox,"Sep 06, 1987",1.7,36%,3.17,45%,1.0,15%,46%,0.5,9.0,2.0,0.0,0.0,,35.0,"San Diego, United States",36%,51 of 141,15%,2 of 13,1.7,1.0,45%,0.0,3.17,0.5,46%,15:00,both
2291,Justin Lawrence,The American Kidd,10.0,4.0,0,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990",3.84,35%,2.83,67%,0.72,28%,73%,0.0,4.0,2.0,0.0,68.0,,33.0,"Corona, United States",35%,86 of 247,29%,,3.96,1.38,68%,0.69,5.43,0.0,73%,07:14,both
2292,Justin Ledet,El Blanco,9.0,4.0,0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,39%,4.82,49%,0.23,50%,42%,0.2,9.0,4.0,0.0,76.0,80.0,34.0,"Rosharon, United States",39%,218 of 559,50%,1 of 2,3.35,0.23,49%,0.0,4.82,0.23,43%,09:18,both
2293,Justin Levens,The Executioner,10.0,7.0,0,"5' 11""",185 lbs.,--,Orthodox,"Apr 18, 1980",1.24,47%,3.15,37%,1.69,50%,33%,5.1,7.0,2.0,0.0,70.0,,43.0,"Philadelphia, United States",20%,2 of 10,0%,,0.37,0.0,41%,0.0,3.49,2.75,33%,02:44,both
2294,Justin Martin,472,4.0,3.0,0,"6' 0""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,42%,,,,,,,,,,both
2295,Justin McCully,The Insane One,11.0,5.0,2,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0,9.0,5.0,2.0,74.0,,47.0,"Washington, United States",38%,74 of 195,44%,,1.58,1.28,47%,0.32,2.02,0.0,44%,11:44,both
2300,Justin Salas,JBomb,12.0,7.0,0,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982",3.42,43%,2.96,68%,2.43,20%,0%,0.0,12.0,7.0,0.0,68.0,70.0,41.0,United States,43%,169 of 391,21%,,3.42,2.43,69%,0.3,2.96,0.0,,07:03,both
2301,Justin Scoggins,702,11.0,5.0,0,"5' 7""",125 lbs.,"66""",Southpaw,"May 02, 1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5,11.0,5.0,0.0,67.0,66.0,31.0,"Spartanburg, United States",52%,359 of 694,64%,23 of 36,3.56,3.42,56%,0.15,2.16,0.45,83%,11:12,both
2303,Justin Sumter,The Fort,7.0,3.0,0,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989",2.68,48%,7.64,34%,2.87,100%,0%,0.0,7.0,2.0,0.0,74.0,80.0,33.0,"Myrtle Beach, United States",48%,14 of 29,100%,,2.68,2.87,34%,0.0,7.64,0.0,,02:37,both
2304,Justin Tafa,Bad Man,7.0,4.0,0 (1 NC),"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",4.09,54%,5.02,47%,0.0,0%,50%,0.0,7.0,4.0,0.0,72.0,74.0,30.0,"West Auckland, New Zealand",55%,221 of 405,0%,,4.09,0.0,48%,1.11,5.02,0.0,50%,06:00,both
2305,Justin Wilcox,Silverback,14.0,7.0,0 (1 NC),"5' 6""",155 lbs.,--,Orthodox,"Mar 12, 1979",3.82,28%,2.63,71%,1.43,16%,100%,0.0,0.0,0.0,0.0,66.0,,44.0,"San Jose, United States",,,25%,,,,,,,,,,both
2306,Justin Willis,Big Pretty,8.0,2.0,0,"6' 1""",264 lbs.,"78""",Southpaw,"Jul 19, 1987",3.37,59%,2.57,57%,0.96,66%,36%,0.0,8.0,2.0,0.0,73.0,78.0,35.0,"East Palo Alto, United States",59%,211 of 356,67%,4 of 6,3.37,0.96,58%,0.48,2.57,0.0,36%,12:31,both
2307,Justin Wren,The Viking,13.0,2.0,0,"6' 2""",265 lbs.,--,Orthodox,"Apr 27, 1987",3.43,35%,2.07,64%,0.0,0%,100%,0.0,10.0,2.0,0.0,75.0,,36.0,"Ames, United States",11%,17 of 159,0%,,1.13,0.0,64%,0.0,4.13,0.0,100%,15:00,both
2308,Justine Kish,384,7.0,4.0,0,"5' 5""",125 lbs.,"64""",Orthodox,"Apr 13, 1988",4.51,48%,4.59,57%,0.87,33%,50%,0.1,7.0,4.0,0.0,65.0,64.0,35.0,"St. Petersburg, Russia",48%,469 of 975,33%,4 of 18,4.51,0.87,58%,0.14,4.59,0.14,50%,14:51,both
2309,Jutaro Nakao,538,25.0,19.0,4,"5' 9""",170 lbs.,--,Southpaw,"Nov 30, 1970",0.53,38%,1.06,44%,0.38,50%,56%,0.0,11.0,8.0,2.0,69.0,,52.0,Japan,43%,12 of 28,0%,,0.59,0.0,45%,0.74,2.07,0.0,56%,10:08,both
2310,KB Bhullar,The Bengal,8.0,2.0,0,"6' 4""",185 lbs.,"78""",Switch,"Oct 12, 1991",4.31,49%,5.39,45%,0.0,0%,0%,0.0,8.0,2.0,0.0,76.0,78.0,31.0,"Edmonton, Canada",49%,72 of 146,,,4.31,0.0,45%,0.0,5.39,0.0,,08:21,both
2311,KJ Noons,King,13.0,9.0,0 (1 NC),"5' 10""",155 lbs.,"70""",Orthodox,"Dec 07, 1982",3.68,35%,3.78,65%,0.08,20%,68%,0.0,12.0,8.0,0.0,70.0,72.0,40.0,United States,35%,715 of 2042,20%,,3.68,0.08,65%,0.39,3.78,0.0,69%,10:48,both
2312,Kai Kamaka,The Fighting Hawaiian,8.0,4.0,1,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",4.96,57%,5.29,55%,1.93,58%,52%,0.3,8.0,4.0,1.0,67.0,69.0,28.0,"Honolulu, United States",57%,270 of 473,58%,,4.96,1.93,55%,0.28,5.29,0.28,53%,13:37,both
2313,Kai KaraFrance,Dont Blink,24.0,11.0,0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.57,39%,3.24,65%,0.63,33%,88%,0.0,24.0,11.0,0.0,64.0,69.0,31.0,"Auckland, New Zealand",40%,656 of 1651,33%,,4.57,0.63,65%,0.63,3.24,0.0,88%,13:03,both
2314,Kaik Brito,95,16.0,5.0,0,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 26, 1997",2.8,38%,3.87,55%,0.0,0%,55%,2.0,0.0,1.0,0.0,,,26.0,,38%,42 of 110,,,2.8,0.0,55%,0.0,3.87,2.0,56%,15:00,both
2315,Kailan Hill,315,4.0,1.0,0 (1 NC),"6' 1""",185 lbs.,"77""",Southpaw,"Dec 01, 1994",2.6,53%,4.8,37%,3.0,42%,0%,0.0,0.0,0.0,0.0,,,28.0,"Los Banos, United States",53%,39 of 73,43%,,2.6,3.0,38%,0.0,4.8,0.0,,15:00,both
2316,Kailin Curran,150,4.0,5.0,0,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",3.89,43%,4.75,53%,2.0,57%,61%,0.6,4.0,6.0,0.0,64.0,65.0,32.0,"Honolulu, United States",44%,320 of 730,58%,,3.89,2.0,53%,0.0,4.75,0.55,62%,11:46,both
2320,Kajan Johnson,Ragin,23.0,13.0,1,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2.47,42%,1.59,64%,1.54,37%,62%,0.2,23.0,14.0,1.0,71.0,75.5,39.0,"Victoria, Canada",43%,216 of 503,38%,9 of 24,2.47,1.54,64%,0.34,1.59,0.17,63%,12:30,both
2321,Kaleio Romero,KO,6.0,2.0,0,"5' 10""",145 lbs.,"69""",Switch,"Apr 19, 1996",2.6,48%,3.27,50%,1.0,8%,0%,1.0,0.0,1.0,0.0,70.0,69.0,27.0,"Sacramento, United States",49%,39 of 80,8%,,2.6,1.0,51%,0.0,3.27,1.0,,15:00,both
2323,Kali Robbins,Pop Tart,6.0,3.0,0,"5' 3""",115 lbs.,"63""",Orthodox,"Jul 05, 1984",3.73,46%,9.4,44%,2.0,33%,0%,0.0,6.0,2.0,0.0,63.0,63.5,39.0,"Wauwatosa, United States",47%,56 of 120,33%,,3.73,2.0,45%,0.0,9.4,0.0,,15:00,both
2324,Kalib Starnes,744,17.0,11.0,1,"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975",2.71,48%,4.43,53%,1.46,33%,25%,0.6,10.0,4.0,1.0,75.0,,48.0,"Surrey, Canada",49%,139 of 286,33%,,2.71,1.46,53%,0.0,4.43,0.59,25%,10:15,both
2325,Kalindra Faria,221,18.0,8.0,1,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7,18.0,8.0,1.0,67.0,63.0,36.0,"Taubate, Brazil",56%,51 of 91,67%,2 of 3,2.23,1.31,45%,0.0,1.44,0.66,20%,07:37,both
2327,Kaloyan Kolev,389,10.0,1.0,0,"6' 2""",205 lbs.,"73""",Orthodox,"Oct 17, 1992",1.12,45%,4.49,42%,10.11,60%,0%,0.0,0.0,1.0,0.0,74.0,73.0,30.0,,45%,5 of 11,60%,,1.12,10.11,43%,0.0,4.49,0.0,,04:27,both
2328,Kamal Shalorus,Prince of Persia,9.0,5.0,2,"5' 8""",155 lbs.,"68""",Orthodox,"Aug 27, 1972",3.06,32%,2.99,70%,2.07,50%,80%,0.0,7.0,3.0,2.0,68.0,,45.0,Iran,32%,222 of 685,50%,,3.06,2.07,70%,0.62,2.99,0.0,81%,10:21,both
2329,Kamaru Usman,The Nigerian Nightmare,20.0,4.0,0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.36,52%,2.74,54%,2.82,45%,89%,0.1,20.0,4.0,0.0,72.0,76.0,36.0,"Auchi, Nigeria",52%,1370 of 2620,45%,28 of 130,4.36,2.82,54%,0.48,2.74,0.1,90%,17:27,both
2330,Kamuela Kirk,The Jawaiian,12.0,6.0,0,"5' 10""",155 lbs.,"75""",Switch,"Apr 13, 1994",3.22,50%,5.87,40%,1.5,26%,47%,1.2,12.0,6.0,0.0,70.0,75.0,29.0,United States,50%,161 of 319,26%,,3.22,1.5,40%,0.0,5.87,1.2,47%,12:31,both
2331,Kanako Murata,532,12.0,3.0,0,"5' 1""",115 lbs.,"62""",Orthodox,"Aug 10, 1993",2.15,56%,2.4,53%,3.38,56%,100%,0.8,12.0,3.0,0.0,61.0,62.0,30.0,Japan,57%,86 of 151,56%,4 of 16,2.15,3.38,53%,0.0,2.4,0.75,100%,13:20,both
2334,Karine Gevorgyan,The Princess,3.0,3.0,0,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",1.2,20%,1.8,76%,0.0,0%,0%,0.0,3.0,3.0,0.0,64.0,63.0,34.0,"Yerevan, Armenia",20%,2 of 10,0%,,1.2,0.0,77%,0.0,1.8,0.0,,01:40,both
2335,Karine Silva,Killer,18.0,4.0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.67,35%,3.12,49%,3.59,72%,0%,2.2,18.0,4.0,0.0,65.0,67.0,30.0,"Dourados, Brazil",36%,89 of 249,73%,1 of 11,2.67,3.59,50%,0.45,3.12,2.25,,06:41,both
2337,Karl Reed,No Worries,6.0,1.0,0,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 27, 1988",2.04,44%,3.84,38%,1.06,22%,53%,0.0,2.0,1.0,0.0,75.0,78.0,34.0,"Brandon, United States",45%,58 of 129,22%,,2.04,1.06,39%,0.0,3.84,0.0,53%,14:13,both
2338,Karl Roberson,Baby K,9.0,6.0,0,"6' 1""",205 lbs.,"74""",Southpaw,"Oct 04, 1990",2.57,51%,2.42,57%,0.72,40%,42%,0.5,9.0,6.0,0.0,73.0,74.0,32.0,"Neptune City, United States",52%,213 of 411,40%,1 of 10,2.57,0.72,58%,0.36,2.42,0.54,43%,07:33,both
2339,Karl Williams,826,10.0,1.0,0,"6' 3""",235 lbs.,"79""",Orthodox,"Jan 06, 1990",2.87,52%,1.7,60%,4.75,50%,100%,0.2,10.0,1.0,0.0,75.0,79.0,33.0,"St. Thomas, United States",53%,172 of 327,50%,8 of 38,2.87,4.75,61%,0.25,1.7,0.25,100%,15:00,both
2342,Karlos Vemola,808,17.0,5.0,0,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 03, 1985",1.67,44%,2.13,37%,1.93,25%,31%,1.7,10.0,4.0,0.0,72.0,75.0,37.0,,44%,91 of 206,26%,,1.67,1.93,38%,0.0,2.13,1.66,31%,09:04,both
2343,Karo Parisyan,The Heat,24.0,11.0,0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,26.0,6.0,0.0,70.0,,40.0,Armenia,41%,375 of 904,60%,,2.49,5.27,58%,0.0,2.19,0.99,60%,11:36,both
2344,Karol Rosa,654,17.0,6.0,0,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994",6.34,56%,4.78,49%,1.22,45%,68%,0.0,17.0,6.0,0.0,65.0,67.5,29.0,"Vila Velha, Brazil",56%,856 of 1527,46%,,6.34,1.22,50%,0.22,4.78,0.0,68%,15:00,both
2345,Karolina Kowalkiewicz,398,16.0,8.0,0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.71,43%,5.55,58%,0.34,23%,73%,0.2,16.0,8.0,0.0,63.0,64.0,38.0,"Lodz, Poland",43%,1276 of 2953,24%,1 of 21,5.71,0.34,58%,0.0,5.55,0.2,73%,13:09,both
2346,Karolina Wojcik,Polish Assassin,9.0,2.0,0,"5' 2""",115 lbs.,--,Orthodox,"Dec 09, 1994",2.67,65%,0.87,62%,2.0,66%,100%,1.0,1.0,0.0,0.0,,,28.0,Poland,66%,40 of 61,67%,,2.67,2.0,63%,0.0,0.87,1.0,100%,15:00,both
2348,Kathryn Paprocki,578,3.0,2.0,0,"5' 3""",115 lbs.,"63""",Orthodox,"Apr 28, 1993",1.0,23%,4.27,43%,0.0,0%,0%,0.0,0.0,1.0,0.0,63.0,63.0,30.0,"Oberlin, United States",23%,15 of 65,0%,,1.0,0.0,43%,0.0,4.27,0.0,,15:00,both
