name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Rob Kimmons,23,7,0,70.00,,42,United States,49%,94 of 193,47%,,1.86,2.08,38%,0.00,4.79,2.37,25%,07:13
Dustin Kimura,12,3,0,67.00,71.00,34,United States,21%,64 of 301,38%,,1.33,0.93,52%,0.00,3.82,2.18,50%,09:38
Mike King,5,1,0,75.00,75.00,,United States,58%,38 of 65,25%,,4.44,1.75,73%,1.75,1.29,3.51,40%,08:33
Kyle Kingsbury,11,6,0,76.00,76.00,41,United States,41%,304 of 744,42%,,2.97,2.64,51%,0.15,3.81,0.00,52%,11:22
Yusaku Kinoshita,6,3,0,72.00,71.50,23,"Osaka , Japan",50%,89 of 178,0%,,4.65,0.00,52%,0.78,5.12,0.00,50%,06:23
Kamuela Kirk,12,6,0,70.00,75.00,29,United States,50%,161 of 319,26%,,3.22,1.50,40%,0.00,5.87,1.20,47%,12:31
Justine Kish,7,4,0,65.00,64.00,35,"St. Petersburg, Russia",48%,469 of 975,33%,4 of 18,4.51,0.87,58%,0.14,4.59,0.14,50%,14:51
Koji Kitao,0,0,0,0.00,,59,Japan,,,33%,4 of 18,,,,,,,,
Top Noi Kiwram,1,2,0,,,30,Thailand,63%,97 of 153,,,5.36,0.00,70%,1.66,3.32,0.00,80%,09:22
Ludovit Klein,20,4,1,67.00,72.50,28,Slovakia,54%,309 of 571,45%,4 of 20,3.49,1.52,53%,0.34,3.53,0.00,83%,12:40
Felix Klinkhammer,0,0,0,,,30,"Neuss, Germany",,,45%,4 of 20,,,,,,,,00:00
Drakkar Klose,14,2,1,69.00,70.00,35,"Kalamazoo, United States",55%,512 of 928,30%,8 of 46,4.33,1.78,53%,0.25,3.40,0.00,68%,11:49
Jason Knight,20,6,0,70.00,71.00,30,"Jackson, United States",34%,338 of 1002,31%,10 of 32,2.95,1.31,52%,0.39,3.02,1.70,47%,12:44
William Knight,11,5,0,70.00,73.00,35,"Manchester, United States",57%,286 of 502,41%,8 of 32,2.62,1.78,36%,0.27,3.30,0.41,48%,12:08
Josefine Knutsson,10,0,0,63.00,60.00,27,"Stockholm, Sweden",53%,168 of 318,73%,3 of 11,3.73,2.67,65%,0.00,1.33,0.00,100%,15:00
Erik Koch,16,6,0,70.00,71.50,34,"Cedar Rapids, United States",42%,309 of 729,43%,3 of 21,2.33,1.02,47%,0.34,2.82,1.02,82%,09:28
Brad Kohler,0,0,0,0.00,,59,"Bloomington, United States",,,43%,3 of 21,,,,,,,,
Kaloyan Kolev,0,1,0,74.00,73.00,30,,45%,5 of 11,60%,,1.12,10.11,43%,0.00,4.49,0.00,,04:27
John Kolosci,8,5,0,71.00,,48,"Portage, United States",20%,1 of 5,0%,,0.21,0.00,50%,0.00,0.85,0.00,,04:42
Syuri Kondo,6,3,0,64.00,66.50,34,"Kanagawa Prefecture, Japan",45%,246 of 548,,,5.40,0.00,58%,0.00,7.22,0.33,83%,11:23
Yuki Kondo,0,0,0,71.00,,47,Japan,43%,3 of 7,0%,,0.18,0.00,52%,0.89,15.00,0.00,38%,08:26
Cheick Kongo,28,8,2,76.00,,48,"Paris, France",58%,574 of 987,63%,,3.51,2.20,55%,0.37,1.63,0.28,53%,09:05
Jon Koppenhaver,6,2,0,71.00,,41,"Simi Valley, United States",60%,30 of 50,50%,,2.32,1.16,44%,0.00,3.17,0.00,40%,06:29
Roman Kopylov,12,2,0,72.00,75.00,31,"Kemerovo Oblast, Russia",53%,301 of 564,50%,,4.72,0.47,61%,0.94,4.11,0.00,92%,10:38
Bruno Korea,4,3,0,66.00,65.50,31,"Brasilia, Brazil",34%,30 of 88,0%,,2.12,0.00,42%,1.06,3.96,0.00,25%,07:04
Tsuyoshi Kosaka,18,9,1,71.00,,53,"Shiga, United States",55%,6 of 11,100%,,0.71,1.78,54%,0.00,17.82,0.00,33%,08:25
Josh Koscheck,19,10,0,70.00,73.00,45,United States,36%,437 of 1211,48%,,1.79,2.46,63%,0.25,2.27,0.43,64%,09:22
Steven Koslow,6,1,0,67.50,69.00,26,"Jacksonville, United States",38%,11 of 29,56%,5 of 9,0.77,5.28,40%,0.00,3.73,1.06,,14:13
Naoyuki Kotani,33,13,7,68.00,,,"Kanagawa, Japan",31%,55 of 177,17%,,1.02,0.83,50%,0.00,2.89,0.83,47%,09:00
Karolina Kowalkiewicz,16,7,0,63.00,64.00,37,"Lodz, Poland",43%,1234 of 2842,26%,1 of 19,5.92,0.36,59%,0.00,5.55,0.22,74%,13:02
Derrick Krantz,24,12,0,70.00,72.00,35,"Indio, United States",38%,39 of 103,50%,1 of 8,2.07,3.18,50%,0.00,4.03,0.80,,09:26
James Krause,28,9,0,74.00,73.50,37,"Newport News, United States",50%,821 of 1653,18%,7 of 60,4.79,0.96,62%,0.26,4.11,0.87,60%,11:26
Pascal Krauss,11,2,0,73.00,72.00,36,"Breisach, Germany",48%,267 of 561,50%,5 of 10,5.45,1.53,59%,0.00,3.88,0.92,60%,12:15
Kaynan Kruschewsky,15,2,0,72.00,73.00,32,"Salvador, Brazil",39%,35 of 89,100%,,5.08,2.18,48%,0.00,4.79,2.18,,03:27
Jorgen Kruth,5,0,0,74.00,,49,Sweden,,,100%,,,,,,,,,
Nikita Krylov,30,9,0,75.00,77.50,31,,56%,546 of 979,38%,1 of 50,4.38,2.29,45%,0.60,2.47,1.44,53%,06:56
Mariusz Ksiazkiewicz,0,1,0,,,33,Germany,45%,14 of 31,100%,,0.93,4.00,39%,0.00,3.40,2.00,,15:00
Michael Kuiper,12,3,0,72.00,,34,Netherlands,55%,107 of 195,56%,,3.28,2.30,54%,1.38,3.62,0.00,79%,08:10
Anton Kuivanen,17,6,0,68.00,72.00,39,United States,38%,85 of 223,100%,,2.27,1.20,67%,0.00,1.63,0.40,71%,12:30
Sumit Kumar,0,1,0,,,22,"Hathras, India",,,100%,,,,,,,,,00:00
Aleksei Kunchenko,20,2,0,68.00,70.00,39,Russia,44%,220 of 496,33%,1 of 3,3.67,0.25,64%,0.00,2.83,0.00,81%,15:00
Rizvan Kuniev,1,0,0,76.00,76.00,30,,74%,78 of 106,75%,,7.09,4.09,51%,0.00,1.55,0.00,,11:00
Keigo Kunihara,3,3,0,72.00,,,Japan,10%,1 of 10,40%,,0.17,4.97,57%,0.00,1.99,2.49,100%,06:02
Kiichi Kunimoto,19,6,2,69.00,71.00,42,Japan,44%,88 of 200,20%,5 of 25,1.87,1.59,41%,0.00,3.92,0.32,29%,09:26
Leo Kuntz,17,3,1,70.00,74.00,39,United States,33%,38 of 116,25%,,1.68,1.99,46%,0.00,3.80,0.66,33%,11:19
Korey Kuppe,8,4,0,,,34,"Pontiac, United States",73%,11 of 15,,,0.73,0.00,31%,0.00,1.33,1.00,69%,15:00
Ramazan Kuramagomedov,1,0,0,73.00,73.00,26,,68%,175 of 258,14%,,11.67,1.00,54%,0.00,9.13,0.00,,15:00
Guram Kutateladze,12,4,0,71.00,72.00,31,Georgia,46%,200 of 436,18%,,4.62,0.69,56%,0.35,4.53,0.00,76%,14:26
Kwan Ho Kwak,9,2,0,67.00,70.00,34,South Korea,41%,63 of 152,100%,1 of 1,3.29,0.78,48%,0.00,3.45,0.00,27%,09:35
Mike Kyle,19,9,1,74.00,,43,"Boise, United States",65%,30 of 46,50%,1 of 2,3.69,1.84,55%,3.69,16.35,1.84,50%,02:43
Luan Lacerda,12,3,0,67.00,71.50,30,"Macapá, Brazil",44%,108 of 245,25%,1 of 8,4.52,1.26,48%,0.00,7.07,0.63,75%,11:57
Daniel Lacerda,11,5,0,66.00,70.00,27,"Valença, Brazil",47%,98 of 207,43%,,4.16,1.91,35%,1.91,8.70,1.27,,04:43
Aspen Ladd,9,3,0,66.00,66.00,28,"Folsom, United States",47%,290 of 617,47%,1 of 17,3.78,1.56,47%,0.20,4.65,0.59,63%,10:58
Ryan LaFlare,13,3,0,73.00,74.00,39,United States,40%,427 of 1064,45%,21 of 47,2.89,2.13,63%,0.20,1.86,0.20,59%,14:47
Corinne Laframboise,0,0,0,,,34,"Longueuil, Canada",,,45%,21 of 47,,,,,,,,00:00
Noad Lahat,9,2,0,69.00,69.00,39,"petach tikva, Israel",47%,106 of 226,26%,,2.79,2.37,64%,0.00,1.47,2.37,17%,09:31
Tina Lahdemaki,5,1,0,62.00,62.00,35,"Polisen / Raumo, Finland",21%,29 of 141,,,1.93,0.00,57%,0.00,4.67,0.00,17%,15:00
Yohan Lainesse,9,2,0,71.00,75.50,30,"Montreal, Canada",43%,70 of 163,29%,2 of 7,2.34,1.00,59%,1.00,3.44,0.50,80%,07:29
Tim Lajcik,11,4,1,73.00,,57,"Redwood, United States",,,29%,2 of 7,,,,,,,,
Sean Lally,8,4,0,72.00,74.50,32,"Falmouth, United States",39%,62 of 158,,,5.34,0.00,30%,0.00,7.23,0.00,,11:37
Ricardo Lamas,20,8,0,68.00,71.00,41,"Chicago, United States",47%,741 of 1566,34%,13 of 86,3.13,1.84,58%,0.19,2.87,0.95,47%,10:17
Jason Lambert,23,8,0,70.00,,48,"Long Beach, United States",58%,143 of 246,36%,,3.21,1.35,51%,1.01,1.84,2.36,29%,05:34
Nate Landwehr,17,5,0,69.00,72.00,35,"Clarksville, United States",47%,431 of 920,42%,,6.14,1.07,56%,0.00,5.58,1.07,86%,10:02
Austen Lane,12,4,0,78.00,80.00,35,"Evanston, United States",47%,33 of 70,0%,,4.48,0.00,49%,0.00,2.85,0.00,,01:51
Lina Lansberg,10,8,0,67.00,65.50,41,"Karlstad, Sweden",55%,390 of 703,28%,2 of 18,2.69,0.52,44%,0.21,3.87,0.10,47%,13:10
Taylor Lapilus,19,3,0,66.00,73.00,31,"Paris, France",47%,278 of 590,40%,2 of 5,4.18,0.45,62%,0.45,2.27,0.45,81%,13:17
Chad Laprise,14,4,0,70.00,71.00,36,"Windsor, Canada",43%,410 of 958,55%,6 of 11,4.78,1.05,65%,0.52,3.59,0.00,79%,08:35
Anthony Lapsley,25,7,0,69.00,71.00,43,United States,34%,10 of 29,0%,,0.53,0.00,67%,0.00,0.58,0.00,20%,09:28
TJ Laramie,12,5,0,66.00,66.00,25,"Windsor, Canada",50%,31 of 62,33%,,1.49,1.44,38%,0.00,2.64,0.00,40%,06:57
Icho Larenas,3,2,0,75.00,,43,"Quebec City, Canada",15%,2 of 13,,,0.17,0.00,29%,0.00,2.50,0.00,14%,11:59
Lorenz Larkin,18,5,0,71.00,72.00,36,"Riverside, United States",46%,594 of 1291,43%,,3.53,0.27,64%,0.54,2.74,0.09,79%,11:12
Jeremy Larsen,8,5,0,70.00,,39,"Tucson, United States",48%,88 of 182,33%,,4.87,2.49,57%,0.83,5.75,0.00,,06:02
Brock Larson,27,4,0,71.00,,45,"Brainerd, United States",47%,94 of 202,34%,,1.39,2.67,56%,0.67,1.50,2.00,43%,06:08
Ilir Latifi,17,9,0,70.00,73.50,40,Albania,45%,306 of 677,36%,10 of 59,2.05,2.11,56%,0.40,2.93,0.30,100%,09:19
Sione Latu,0,0,0,0.00,,,United States,,,36%,10 of 59,,,,,,,,
Jenel Lausa,7,4,0,65.00,68.50,34,Philippines,42%,78 of 184,67%,2 of 3,1.44,0.55,54%,0.55,3.53,0.83,52%,13:31
Joe Lauzon,28,16,0,70.00,71.50,39,"Brockton, United States",40%,605 of 1525,45%,33 of 75,2.84,2.39,55%,0.21,5.39,2.04,55%,07:53
Dan Lauzon,12,4,0,70.00,,35,"Brockton, United States",29%,35 of 122,43%,,1.54,1.98,62%,0.66,4.97,0.00,80%,07:34
Sandra Lavado,0,1,0,,,29,,37%,13 of 35,0%,,0.87,0.00,34%,0.00,2.67,0.00,33%,15:00
Robbie Lawler,30,16,0,71.00,74.00,41,"San Diego, United States",47%,1605 of 3411,64%,16 of 28,3.85,0.65,59%,0.61,4.67,0.00,65%,11:16
Tom Lawlor,10,6,0,72.00,74.00,40,"Fall River, United States",42%,244 of 575,32%,16 of 50,2.50,2.46,61%,0.46,2.41,1.38,58%,08:52
Justin Lawrence,4,2,0,68.00,,33,"Corona, United States",35%,86 of 247,29%,,3.96,1.38,68%,0.69,5.43,0.00,73%,07:14
Lance Lawrence,5,0,0,72.00,,30,"Louisville, United States",50%,88 of 176,100%,,5.87,1.00,25%,0.00,9.80,0.00,50%,15:00
Ronnie Lawrence,8,2,0,68.00,68.50,31,United States,56%,167 of 296,77%,14 of 35,2.78,6.75,52%,0.75,1.75,0.25,45%,12:00
Jimmy Lawson,0,1,0,,,31,"Neptune City, United States",8%,1 of 12,,,0.07,0.00,44%,0.00,1.60,0.00,,15:00
Valmir Lazaro,13,4,0,72.00,73.00,37,Brazil,37%,219 of 587,40%,,4.87,1.33,62%,0.00,4.09,0.00,96%,15:00
Zviad Lazishvili,13,1,0,66.00,69.00,31,"Kobuleti, Georgia",39%,63 of 160,0%,,4.20,0.00,51%,0.00,6.13,0.00,,15:00
Mounir Lazzez,11,3,0,73.00,76.00,35,Tunisia,55%,250 of 452,57%,4 of 7,7.49,1.80,53%,0.00,5.42,0.00,71%,08:21
Thanh Le,7,1,0,69.00,74.00,37,"New Orleans, United States",41%,13 of 32,,,1.97,0.00,71%,2.28,1.82,0.00,100%,06:35
Cung Le,9,3,0,70.00,,51,"Saigon, Vietnam",42%,133 of 320,67%,,3.09,0.70,67%,0.35,7.57,0.00,89%,10:46
Jordan Leavitt,11,3,0,69.00,71.00,28,"Las Vegas, United States",61%,140 of 229,25%,4 of 32,2.55,2.19,57%,0.27,1.84,1.09,30%,06:52
Chris Leben,22,11,0,71.00,74.00,42,"Portland, United States",44%,600 of 1379,41%,,2.89,1.23,52%,0.51,3.07,0.87,54%,08:40
Mickael Lebout,14,5,1,71.00,73.00,,United States,35%,117 of 335,0%,,2.60,0.00,54%,0.00,2.98,0.00,60%,15:00
Justin Ledet,9,4,0,76.00,80.00,34,"Rosharon, United States",39%,218 of 559,50%,1 of 2,3.35,0.23,49%,0.00,4.82,0.23,43%,09:18
Andrea Lee,13,8,0,66.00,69.50,34,"Atlanta, United States",47%,760 of 1603,58%,3 of 33,4.91,1.84,64%,0.10,3.69,0.58,54%,14:05
David Lee,5,2,0,70.00,,,"London, United Kingdom",50%,13 of 26,0%,,1.49,0.00,42%,0.00,3.31,0.00,50%,04:23
Jackie Lee,0,0,0,0.00,,,United States,,,0%,,,,,,,,,
Kevin Lee,18,8,0,70.00,77.00,30,"Detroit, United States",42%,843 of 1995,43%,32 of 106,3.88,3.18,50%,0.07,3.60,0.76,75%,11:26
Rocky Lee,3,1,0,69.00,,36,China,51%,37 of 72,10%,,2.47,1.00,44%,0.00,5.33,0.00,33%,15:00
Vaughan Lee,14,11,1,66.00,66.00,40,United States,47%,258 of 546,33%,,3.47,0.81,70%,0.20,2.07,1.01,72%,09:17
James Lee,25,3,0,71.00,,49,"Sylvan Lake, United States",0%,0 of 1,50%,,0.00,20.00,27%,0.00,5.33,0.00,,01:30
Jung Hyun Lee,0,1,0,,,20,South Korea,,,50%,,,,,,,,,00:00
JeongYeong Lee,10,1,0,70.00,73.50,27,South Korea,48%,39 of 82,,,2.39,0.00,56%,0.92,1.84,0.92,74%,05:26
Chang Ho Lee,2,0,0,,,29,South Korea,69%,75 of 108,36%,,4.30,4.30,47%,0.00,1.03,0.00,25%,08:44
Cheyden Leialoha,6,1,0,68.00,73.00,29,"Puna, United States",29%,28 of 98,33%,,1.87,2.00,54%,0.00,3.20,0.00,71%,15:00
Christophe Leininger,0,0,0,0.00,,,United States,,,33%,,,,,,,,,
Claudia Leite,0,1,0,,,26,,48%,19 of 40,25%,,1.27,1.00,57%,0.00,1.73,1.00,,15:00
Thales Leites,27,9,0,73.00,78.00,41,"Rio de Janeiro, Brazil",41%,562 of 1387,27%,35 of 135,2.13,2.10,53%,0.23,2.99,1.14,31%,12:34
Amanda Lemos,13,3,1,64.00,65.00,36,"Belém, Brazil",55%,325 of 588,56%,1 of 9,3.54,0.82,43%,0.82,4.66,0.82,56%,09:11
Giacomo Lemos,6,0,0,75.00,,33,,,,56%,1 of 9,,,,,,,,00:00
Jesse Lennox,15,3,0,69.00,,41,"Cedar Rapids, United States",32%,132 of 412,67%,,2.69,1.22,65%,0.00,3.20,0.31,64%,12:16
Nik Lentz,30,12,2,68.00,68.00,38,"El Paso, United States",48%,1079 of 2267,33%,59 of 210,3.44,3.30,50%,0.10,3.25,1.24,44%,12:34
Alberto Cerro Leon,0,0,0,75.00,,,United States,,,33%,59 of 210,,,,,,,,
Victoria Leonardo,9,6,0,65.00,64.00,33,"Galloway, United States",39%,153 of 388,28%,,3.27,1.60,46%,0.00,4.70,0.00,71%,09:21
Anthony Leone,0,0,0,66.00,,36,United States,49%,22 of 45,17%,,1.76,1.20,56%,0.00,3.52,0.00,,12:29
Kimo Leopoldo,10,4,1,73.00,,55,United States,83%,5 of 6,100%,,1.46,4.39,30%,0.00,4.10,4.39,,01:43
Brock Lesnar,6,3,0,75.00,81.00,45,"Webster, United States",72%,217 of 301,55%,,3.53,3.90,51%,0.49,2.11,0.49,60%,06:50
Frank Lester,3,5,0,71.00,,39,"Temecula, United States",36%,8 of 22,0%,,2.18,0.00,53%,0.00,3.82,0.00,,03:40
Valerie Letourneau,8,6,0,67.00,68.00,40,"Montreal, Canada",38%,441 of 1161,45%,,4.51,0.77,59%,0.15,5.40,0.31,67%,16:17
Leah Letson,5,3,0,67.00,71.00,30,"Janesville, United States",42%,90 of 215,50%,,3.06,0.51,52%,0.00,3.84,0.00,76%,14:43
Justin Levens,7,2,0,70.00,,43,"Philadelphia, United States",20%,2 of 10,0%,,0.37,0.00,41%,0.00,3.49,2.75,33%,02:44
Marcus LeVesseur,22,7,0,69.00,,40,United States,64%,69 of 107,37%,,2.55,3.89,38%,0.00,3.70,0.56,83%,09:00
David Levicki,0,0,0,0.00,,,United States,,,37%,,,,,,,,,
Natan Levy,8,1,0,69.00,71.00,31,Israel,52%,224 of 433,57%,3 of 35,4.01,5.37,59%,0.00,3.52,0.54,41%,13:59
Bevon Lewis,8,3,0,75.00,79.00,32,"Long Beach, United States",44%,238 of 542,0%,,3.73,0.00,54%,0.47,2.67,0.00,67%,10:38
John Lewis,0,0,0,72.00,,,"Honolulu, United States",0%,0 of 1,,,0.00,0.00,67%,0.00,4.00,0.00,,00:15
Brandon Lewis,0,2,0,64.00,65.00,25,"Bristol, United States",29%,65 of 221,15%,,2.17,1.00,53%,0.00,3.63,0.00,20%,15:00
Derrick Lewis,27,12,0,75.00,79.00,38,"New Orleans, United States",51%,617 of 1219,26%,5 of 34,2.43,0.53,41%,0.53,2.48,0.00,53%,09:05
Malik Lewis,0,2,0,,,27,Germany,45%,94 of 208,40%,,4.16,3.98,40%,0.00,5.66,0.00,50%,11:19
Chi Lewis-Parry,0,0,0,,,39,"Hitchin, United Kingdom",,,40%,,,,,,,,,
Jess Liaudin,12,11,0,69.00,,,"Evry, France",51%,90 of 175,53%,,2.46,3.28,42%,0.82,2.76,1.64,31%,07:19
Chuck Liddell,21,8,0,,,53,,36%,610 of 1696,75%,,2.97,0.44,57%,1.17,2.71,0.00,81%,08:55
Rodrigo Lidio,0,1,0,,,33,,50%,3 of 6,,,0.97,0.00,100%,0.00,0.00,0.00,50%,03:05
Zach Light,5,1,0,68.00,,49,"Lisbon, United States",40%,2 of 5,100%,,0.83,6.21,49%,0.00,8.69,0.00,,02:25
Chris Ligouri,2,2,0,68.00,,,"Toms River, United States",33%,1 of 3,,,0.29,0.00,,0.00,1.44,0.00,50%,03:29
Hyun Gyu Lim,13,7,1,75.00,77.00,38,South Korea,41%,286 of 697,100%,1 of 1,4.45,0.23,51%,0.93,5.07,0.23,74%,09:11
Dhiego Lima,17,9,0,74.00,75.00,34,"Dacula, United States",39%,297 of 761,35%,6 of 23,3.12,1.26,58%,0.32,3.88,0.63,74%,08:40
Juliana Lima,9,5,0,65.00,65.50,41,"Belo Horizonte, Brazil",44%,186 of 422,31%,11 of 35,1.94,1.72,56%,0.00,2.11,0.00,71%,13:42
Mabelly Lima,0,0,0,62.00,,29,"Limoeiro do Norte, Brazil",63%,46 of 73,0%,,3.07,0.00,45%,0.00,5.67,0.00,100%,15:00
Matt Lindland,15,3,0,72.00,,53,United States,52%,288 of 554,50%,,2.46,3.46,52%,0.00,2.27,1.15,61%,09:45
Jake Lindsey,9,3,0,71.00,71.00,36,United States,53%,79 of 150,33%,,3.44,0.65,46%,0.00,4.01,0.00,50%,07:39
John Lineker,31,9,0,63.00,67.00,33,"Paranagua, Brazil",40%,1010 of 2514,58%,6 of 12,5.36,0.56,56%,0.96,4.27,0.64,68%,11:46
Austin Lingo,9,3,0,70.00,70.00,29,"Dallas, United States",38%,267 of 709,67%,1 of 3,3.86,0.43,57%,0.43,4.86,0.00,76%,13:50
Lucio Linhares,13,6,0,74.00,,49,"Ipatinga, Brazil",23%,16 of 71,50%,,0.99,1.86,35%,0.00,3.47,1.86,50%,08:04
Philipe Lins,17,5,0,74.00,78.00,37,Brazil,46%,174 of 376,36%,,3.59,1.55,45%,0.31,3.73,0.00,100%,09:42
Zhang Lipeng,9,9,1,71.00,71.00,33,United States,49%,77 of 158,30%,,1.28,1.75,54%,0.00,1.88,0.75,70%,15:00
Ariane Lipski,17,8,0,66.00,67.00,29,"Curitiba, Brazil",41%,503 of 1231,56%,1 of 9,4.27,0.64,52%,0.38,4.23,0.38,79%,10:43
Tainara Lisboa,7,2,0,67.00,67.00,32,"Santos, Brazil",51%,60 of 118,40%,1 of 10,2.05,2.05,55%,0.00,1.40,0.51,70%,14:40
Dean Lister,11,6,0,73.00,,47,"San Diego, United States",34%,86 of 256,15%,,1.30,1.81,62%,0.00,2.98,1.13,50%,11:02
Pingyuan Liu,13,7,0,66.00,72.00,30,"Henan, China",34%,139 of 413,20%,1 of 5,2.36,0.25,54%,0.25,2.99,1.02,56%,14:44
James Llontop,,,,,,23,"Callao Region, Peru",,,20%,1 of 5,,,,,,,,
Abner Lloveras,19,8,1,71.00,,40,"Barcelona, Spain",50%,94 of 189,20%,,6.27,2.00,43%,0.00,6.87,0.00,,15:00
John Lober,0,0,0,0.00,,55,"Huntington Beach, United States",,,20%,,,,,,,,,
Artem Lobov,14,15,1,69.00,65.00,36,Russia,41%,405 of 977,25%,3 of 12,3.52,0.39,51%,0.00,4.82,0.00,52%,16:26
Dylan Lockard,0,0,0,,,31,"Methuen, United States",53%,17 of 32,40%,,1.31,2.31,53%,1.16,3.31,1.16,29%,12:59
Sean Loeffler,25,5,0,75.00,,41,United States,,,40%,,,,,,,,,00:00
Christian Lohsen,0,0,0,,,28,"Lodi, United States",49%,79 of 160,0%,,5.27,0.00,44%,0.00,6.93,2.00,,15:00
David Loiseau,18,10,0,72.00,,43,"Montreal, Canada",45%,166 of 372,43%,,1.59,0.43,43%,0.57,3.64,0.14,36%,11:36
Hector Lombard,34,9,1,69.00,71.00,45,"Matanzas, Australia",46%,484 of 1045,49%,15 of 37,3.02,1.69,53%,0.66,3.35,0.47,77%,11:27
Michael Lombardo,11,2,0,72.00,72.00,33,"White Plains, United States",63%,44 of 70,22%,,1.47,2.50,32%,0.00,2.63,0.00,60%,15:00
Xiao Long,2,1,0,,,25,"Hunan, China",49%,231 of 470,25%,,5.13,0.67,55%,0.00,3.49,0.00,78%,15:00
Loma Lookboonmee,8,3,0,61.00,61.50,27,Thailand,59%,396 of 675,50%,1 of 26,4.14,2.04,53%,0.00,2.58,0.16,74%,13:41
Ange Loosa,10,3,0,70.00,74.00,30,Congo - Kinshasa,47%,379 of 813,45%,,6.32,2.25,51%,0.00,6.88,0.25,100%,15:00
Bruno Lopes,0,1,0,,,30,,35%,20 of 57,,,5.29,0.00,54%,0.00,8.46,0.00,,03:47
Dileno Lopes,19,3,0,65.00,65.00,38,"Manaus, Brazil",36%,71 of 196,31%,,2.37,2.50,54%,0.00,3.33,1.50,100%,15:00
Diego Lopes,23,6,0,71.00,72.50,28,"Manaus, Brazil",53%,70 of 131,0%,,2.47,0.00,37%,0.53,4.91,5.29,43%,07:05
Benito Lopez,10,2,0,70.00,73.00,29,"Oroville, United States",45%,233 of 513,,,4.39,0.00,56%,0.28,5.18,0.28,73%,10:37
Jorge Lopez,11,3,0,70.00,,34,United States,60%,74 of 124,41%,,2.47,3.50,51%,0.00,2.57,0.00,81%,15:00
Matthew Lopez,10,5,0,67.00,69.00,36,"Safford, United States",51%,212 of 416,60%,11 of 25,3.13,3.32,55%,0.00,3.73,1.33,71%,11:18
Steve Lopez,12,3,0,71.00,,38,"South Bend, United States",24%,29 of 120,,,1.39,0.00,62%,0.00,2.69,0.00,38%,10:24
Gustavo Lopez,12,6,1,65.00,67.00,33,United States,40%,107 of 266,42%,,2.48,1.74,57%,0.00,3.87,0.70,32%,10:48
Aaron Lott,,,,,,,,,,42%,,,,,,,,,
Brendan Loughnane,16,4,0,69.00,,33,"Manchester, United Kingdom",63%,187 of 296,30%,,6.23,1.50,54%,0.50,6.70,0.00,93%,15:00
Nate Loughran,0,0,0,74.00,,42,"Rohnert Park, United States",40%,26 of 65,0%,,1.81,0.00,60%,0.00,4.11,2.09,,07:11
Caolán Loughran,8,1,0,66.00,,27,"Tyrone, Ireland",45%,43 of 96,42%,,2.87,5.00,55%,0.00,5.80,0.00,,15:00
Ian Loveland,14,9,0,68.00,,39,United States,40%,122 of 304,38%,,2.71,1.00,65%,0.67,2.36,0.33,70%,15:00
Waylon Lowe,10,4,0,67.00,,42,"Jefferson City, United States",56%,88 of 156,52%,,1.92,4.58,53%,0.00,2.81,0.33,83%,11:28
Joseph Lowry,7,2,0,70.00,72.00,33,"Philadelphia, United States",35%,71 of 203,0%,,3.97,0.00,63%,0.00,4.25,0.00,,08:56
Robert Lucarelli,0,0,0,0.00,,,United States,,,0%,,,,,,,,,
Matt Lucas,14,3,0,73.00,,,"Indianapolis, United States",49%,19 of 39,10%,,1.27,1.00,40%,0.00,3.93,0.00,,15:00
Iasmin Lucindo,15,5,0,63.00,66.00,21,"Fortaleza, Brazil",40%,129 of 323,67%,,3.33,2.33,68%,0.00,3.23,0.39,67%,12:54
Duane Ludwig,29,14,0,70.00,,44,United States,45%,482 of 1080,25%,,4.62,0.43,58%,0.43,3.05,0.14,59%,06:24
Mike Lullo,8,3,0,68.00,70.00,,United States,36%,63 of 174,11%,,2.48,1.18,40%,0.00,4.84,0.59,,12:43
Qiu Lun,1,2,0,68.00,66.00,25,"Sichuan, China",46%,158 of 341,18%,,3.51,0.67,67%,0.33,1.78,0.00,69%,15:00
Dalcha Lungiambula,11,6,0,68.00,76.00,35,"Kinshasa City, Congo - Kinshasa",45%,215 of 477,45%,4 of 22,3.07,2.14,53%,0.21,3.93,0.00,78%,10:00
Vicente Luque,22,9,1,71.00,75.50,32,"Westwood, United States",53%,1046 of 1988,61%,6 of 23,5.17,1.04,52%,0.74,5.15,0.67,63%,10:07
Thaddeus Luster,0,0,0,0.00,,,United States,,,61%,6 of 23,,,,,,,,
Travis Lutter,12,5,0,71.00,,50,"Chamberlain, United States",32%,19 of 59,24%,,0.41,1.95,43%,0.32,2.42,0.65,30%,07:43
Tucker Lutz,12,4,0,68.00,72.00,29,United States,47%,310 of 661,44%,4 of 25,3.74,1.99,44%,0.00,3.25,0.18,69%,13:48
Stevie Lynch,4,0,0,70.00,,,,25%,7 of 28,,,2.47,0.00,41%,0.00,7.06,0.00,,02:50
Chris Lytle,41,18,4,71.00,,48,"Indianapolis, United States",45%,883 of 1948,55%,,3.76,0.70,58%,0.13,3.03,2.36,55%,10:40
